Key,Value
accommodates,25.630107025640267
to_city_center,8.417993246274989
beds,6.888719670963752
minimum_nights,5.877973931281092
reviews_per_month,5.229790267701689
minimum_nights_avg_ntm,3.8060794207317965
maximum_minimum_nights,3.665811522370579
host_acceptance_rate,3.6229944984693274
review_scores_rating,2.7151365665067795
calculated_host_listings_count_private_rooms,2.555841989308666
calculated_host_listings_count_entire_homes,2.45573519359785
review_scores_location,2.265506530791183
minimum_minimum_nights,1.9164000034338358
number_of_reviews_ltm,1.8300294093639566
number_of_reviews,1.7969225414877765
host_response_rate,1.696921865063778
number_of_reviews_l30d,1.5609228748339976
host_total_listings_count,1.544143956622995
availability_365,1.4881091584168336
maximum_nights,1.3758045112009432
calculated_host_listings_count,1.31151415481962
availability_60,1.2908524887728707
host_listings_count,1.1465464626493176
review_scores_value,1.1202026825780345
availability_30,1.058654185127742
availability_90,1.0095870076130347
maximum_nights_avg_ntm,0.9660501862165066
review_scores_accuracy,0.9121359253772834
review_scores_cleanliness,0.8738696730944601
host_identity_verified_formatted,0.829306238038782
review_scores_communication,0.6194585991828488
instant_bookable_formatted,0.5580287344879946
calculated_host_listings_count_shared_rooms,0.49960376102011816
review_scores_checkin,0.4450734664180232
minimum_maximum_nights,0.3776144335984287
maximum_maximum_nights,0.37024786239489166
host_is_superhost_formatted,0.2575847751901528
host_has_profile_pic_formatted,0.012725179357839931
neighbourhood_group_cleansed,0.0
bedrooms,0.0
has_availability_formatted,0.0
